হাগদবনি,ꯍꯥꯒꯗꯕꯅꯤ
পীজরগা,ꯄꯤꯖꯔꯒ
চার্জশিং,ꯆꯥꯔꯖꯁꯤꯡ
তূম্না,ꯇꯨꯝꯅꯥ
প্রধানমন্ত্রীনি,ꯄꯔ꯭ꯙꯥꯟꯃꯟꯇꯔ꯭ꯤꯅꯤ
অহেনবা,ꯑꯍꯦꯟꯕ
ইমোস্নেল,ꯏꯃꯣꯁꯅꯦꯜ
মতৌশিং,ꯃꯇꯧꯁꯤꯡ
নুংশিৎশীংগী,ꯅꯨꯡꯁꯤꯠꯁꯤꯡꯒꯤ
প্রশাসন,ꯄꯔ꯭ꯁꯥꯁꯟ
হায়্রবোইরে,ꯍꯥꯌꯔ꯭ꯕꯣꯏꯔꯦ
মখোয়,ꯃꯈꯣꯌ
সেলেব্রেট,ꯁꯦꯂꯦꯕꯔ꯭ꯦꯠ
আর্টরিশীং,ꯑꯥꯔꯇꯔꯤꯁꯤꯡ
খুদীংগী,ꯈꯨꯗꯤꯡꯒꯤ
খোঙ্দোংলে,ꯈꯣꯡꯗꯣꯡꯂꯦ
ৱানাক্রিপ্ট,ꯋꯥꯅꯥꯀꯔ꯭ꯤꯞꯇ
ফেক্টরশীংগী,ꯐꯦꯛꯇꯔꯁꯤꯡꯒꯤ
জগোয়্দা,ꯖꯒꯣꯌꯗꯥ
ওইরিনিনে,ꯑꯣꯏꯔꯤꯅꯤꯅꯦ
অনালাইয়েংগী,ꯑꯅꯥꯂꯥꯏꯌꯦꯡꯒꯤ
হৈথরক্কনি,ꯍꯩꯊꯔꯛꯀꯅꯤ
তরানিগী,ꯇꯔꯥꯅꯤꯒꯤ
য়ারবসু,ꯌꯥꯔꯕꯁꯨ
শিজিন্নবীরোইদবনি,ꯁꯤꯖꯤꯟꯅꯕꯤꯔꯣꯏꯗꯕꯅꯤ
ইকাইখুম্নগদবনি,ꯏꯀꯥꯏꯈꯨꯝꯅꯒꯗꯕꯅꯤ
পূম্চাই,ꯄꯨꯝꯆꯥꯏ
লোনহন্দোক্লোন,ꯂꯣꯟꯍꯟꯗꯣꯛꯂꯣꯟ
খায়বুং,ꯈꯥꯌꯕꯨꯡ
লান্ফম্,ꯂꯥꯟꯐꯝ
লাইফপু,ꯂꯥꯏꯐꯄꯨ
মহাসাগর,ꯃꯍꯥꯁꯥꯒꯔ
ইন্টরপ্রিটেসন,ꯏꯟꯇꯔꯄꯔ꯭ꯤꯇꯦꯁꯟ
ফাহল্লি,ꯐꯥꯍꯜꯂꯤ
ঙাকচনবগী,ꯉꯥꯛꯆꯟꯕꯒꯤ
হল্লম্মী,ꯍꯜꯂꯝꯃꯤ
ভজাইনেল,ꯚꯖꯥꯏꯅꯦꯜ
লায়ওংশীংগী,ꯂꯥꯌꯑꯣꯡꯁꯤꯡꯒꯤ
ইন্টিগ্রিটি,ꯏꯟꯇꯤꯒꯔ꯭ꯤꯇꯤ
ফেসিলীটি,ꯐꯦꯁꯤꯂꯤꯇꯤ
ষ্টেটিষ্টিক,ꯁꯇ꯭ꯦꯇꯤꯁꯇꯤꯛ
মহিমনাইশীংদগী,ꯃꯍꯤꯃꯅꯥꯏꯁꯤꯡꯗꯒꯤ
য়ুনিয়ন,ꯌꯨꯅꯤꯌꯟ
মশক্তুনি,ꯃꯁꯛꯇꯨꯅꯤ
লৈখিদ্রবোইরে,ꯂꯩꯈꯤꯗꯔ꯭ꯕꯣꯏꯔꯦ
থৌওংনি,ꯊꯧꯑꯣꯡꯅꯤ
দেঙ্গি,ꯗꯦꯡꯒꯤ
লোকপা,ꯂꯣꯛꯄ
ওইহল্লিবনো,ꯑꯣꯏꯍꯜꯂꯤꯕꯅꯣ
শাক্ষি,ꯁꯥꯛꯁꯤ
